trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
303,False,"{'a': 0.5, 'e': 0.7625486999106625}",25,0,-30.430910676100563,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
304,False,"{'a': 0.5, 'e': 0.35904428689111606}",30,0,-31.69733840589452,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
305,False,"{'a': 0.5, 'e': 0.13236668966664739}",25,11,21.47510380622666,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.5913696841443247}",25,1,-54.2038049312901,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 1}",1
307,False,"{'a': 0.5, 'e': 0.9055847552047066}",25,0,-89.00184089124986,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
308,False,"{'a': 0.5, 'e': 0.9980810948185003}",20,0,-109.93296684774727,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
309,False,"{'a': 0.5, 'e': 0.8462123731256282}",20,0,-66.7672300809925,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
310,False,"{'a': 0.5, 'e': 0.48716134980334147}",25,0,-14.719398603794916,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
311,False,"{'a': 0.5, 'e': 0.008836237703148543}",20,0,29.96440642050702,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.5, 'e': 0.47165229356133864}",20,0,-9.07993895189664,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
313,False,"{'a': 0.5, 'e': 0.836663893913208}",25,0,-98.78668132402802,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
314,False,"{'a': 0.5, 'e': 0.9968309933617175}",20,0,-30.779055550817098,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
315,False,"{'a': 0.5, 'e': 0.9129390999389944}",20,10,-21.90165782099245,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.6055278749869898}",25,13,-19.112086470126798,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.1498623077152374}",30,14,31.44061947543164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.34249477911590703}",20,11,-32.13369101169361,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
319,False,"{'a': 0.5, 'e': 0.7509971990964674}",25,2,-59.224253505402984,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
320,False,"{'a': 0.5, 'e': 0.9756293127952373}",20,0,-93.24607424700542,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
321,False,"{'a': 0.5, 'e': 0.9613933444599089}",25,0,-18.17132866911978,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.7117747556357236}",20,0,-6.975746923983021,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
323,False,"{'a': 0.5, 'e': 0.2878888826194756}",20,0,-14.170883895354017,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
324,False,"{'a': 0.5, 'e': 0.2064822293378111}",25,0,-14.494574185994999,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
325,False,"{'a': 0.5, 'e': 0.6502992902336991}",20,0,-201.26088841231132,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
326,False,"{'a': 0.5, 'e': 0.9349004048997503}",25,0,-165.38970164391827,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
327,False,"{'a': 0.5, 'e': 0.9906052946548402}",20,0,-116.66476266401635,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
328,False,"{'a': 0.5, 'e': 0.803775459710974}",25,0,-126.7478591734048,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
329,False,"{'a': 0.5, 'e': 0.4201533595806971}",30,2,-57.80129823779902,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 1}",1
330,False,"{'a': 0.5, 'e': 0.06633693633562374}",20,7,12.945019795641125,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.5365856366554476}",25,6,-31.886472582372683,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
332,False,"{'a': 0.5, 'e': 0.875459459043705}",30,0,-131.9506081159076,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
333,False,"{'a': 0.5, 'e': 0.9999902731420214}",30,3,-82.4515093557958,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 1}",1
334,False,"{'a': 0.5, 'e': 0.8796885924951523}",30,0,-181.9906311528682,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
335,False,"{'a': 0.5, 'e': 0.5440084641932424}",20,0,-6.367846936678604,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
336,False,"{'a': 0.5, 'e': 0.07513609089835323}",20,7,23.78770119384995,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.41213221791123295}",30,9,1.0563341635498549,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.7984961861625556}",20,0,-144.1503161088773,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
339,False,"{'a': 0.5, 'e': 0.989360439513222}",20,0,-47.98938132172776,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
340,False,"{'a': 0.5, 'e': 0.9379947521194415}",30,0,-27.320738505891832,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
341,False,"{'a': 0.5, 'e': 0.6569752356961871}",30,7,-54.58786130482903,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
342,False,"{'a': 0.5, 'e': 0.21510526876214117}",25,15,20.69835605885592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.2794299700233931}",30,19,-0.5009327341827206,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.7055510066862999}",25,0,-160.67669051045385,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
345,False,"{'a': 0.5, 'e': 0.958928549960796}",20,0,-8.566351920818681,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
346,False,"{'a': 0.5, 'e': 0.9775269404025313}",25,0,-147.42701691249187,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
